year,state,code,value
1960,Alabama,AL,12.4
1960,Alaska,AK,10.2
1960,Arizona,AZ,6.0
1960,Arkansas,AR,8.5
1960,California,CA,3.9
1960,Colorado,CO,4.2
1960,Connecticut,CT,1.6
1960,Delaware,DE,7.4
1960,District of Columbia,DC,10.6
1960,Florida,FL,10.6
1960,Georgia,GA,11.9
1960,Hawaii,HI,2.4
1960,Idaho,ID,2.4
1960,Illinois,IL,4.9
1960,Indiana,IN,4.4
1960,Iowa,IA,0.6
1960,Kansas,KS,2.9
1960,Kentucky,KY,6.7
1960,Louisiana,LA,8.3
1960,Maine,ME,1.7
1960,Maryland,MD,5.4
1960,Massachusetts,MA,1.4
1960,Michigan,MI,4.5
1960,Minnesota,MN,1.2
1960,Mississippi,MS,10.0
1960,Missouri,MO,4.4
1960,Montana,MT,3.9
1960,Nebraska,NE,2.3
1960,Nevada,NV,8.8
1960,New Hampshire,NH,1.3
1960,New Jersey,NJ,2.7
1960,New Mexico,NM,7.4
1960,North Carolina,NC,10.6
1960,North Dakota,ND,0.5
1960,Ohio,OH,3.2
1960,Oklahoma,OK,7.5
1960,Oregon,OR,2.4
1960,Pennsylvania,PA,2.6
1960,Rhode Island,RI,1.0
1960,South Carolina,SC,13.2
1960,South Dakota,SD,2.1
1960,Tennessee,TN,8.5
1960,Texas,TX,8.6
1960,Utah,UT,1.0
1960,Vermont,VT,0.3
1960,Virginia,VA,12.3
1960,Washington,WA,2.1
1960,West Virginia,WV,4.4
1960,Wisconsin,WI,1.3
1960,Wyoming,WY,4.8
1961,Alabama,AL,12.9
1961,Alaska,AK,11.5
1961,Arizona,AZ,6.0
1961,Arkansas,AR,9.1
1961,California,CA,3.7
1961,Colorado,CO,4.7
1961,Connecticut,CT,1.0
1961,Delaware,DE,4.4
1961,District of Columbia,DC,11.5
1961,Florida,FL,9.1
1961,Georgia,GA,10.0
1961,Hawaii,HI,2.3
1961,Idaho,ID,2.0
1961,Illinois,IL,4.8
1961,Indiana,IN,4.1
1961,Iowa,IA,1.3
1961,Kansas,KS,1.9
1961,Kentucky,KY,6.5
1961,Louisiana,LA,6.4
1961,Maine,ME,1.6
1961,Maryland,MD,4.5
1961,Massachusetts,MA,1.5
1961,Michigan,MI,4.1
1961,Minnesota,MN,1.0
1961,Mississippi,MS,10.3
1961,Missouri,MO,5.1
1961,Montana,MT,2.5
1961,Nebraska,NE,2.4
1961,Nevada,NV,7.0
1961,New Hampshire,NH,0.6
1961,New Jersey,NJ,2.5
1961,New Mexico,NM,6.8
1961,North Carolina,NC,9.2
1961,North Dakota,ND,0.9
1961,Ohio,OH,3.1
1961,Oklahoma,OK,5.0
1961,Oregon,OR,2.7
1961,Pennsylvania,PA,2.6
1961,Rhode Island,RI,1.0
1961,South Carolina,SC,11.6
1961,South Dakota,SD,1.7
1961,Tennessee,TN,8.0
1961,Texas,TX,8.1
1961,Utah,UT,1.7
1961,Vermont,VT,1.5
1961,Virginia,VA,8.6
1961,Washington,WA,2.2
1961,West Virginia,WV,4.4
1961,Wisconsin,WI,1.6
1961,Wyoming,WY,3.3
1962,Alabama,AL,9.4
1962,Alaska,AK,4.5
1962,Arizona,AZ,5.7
1962,Arkansas,AR,7.9
1962,California,CA,3.9
1962,Colorado,CO,5.0
1962,Connecticut,CT,1.3
1962,Delaware,DE,4.3
1962,District of Columbia,DC,11.6
1962,Florida,FL,7.7
1962,Georgia,GA,10.3
1962,Hawaii,HI,2.9
1962,Idaho,ID,3.0
1962,Illinois,IL,5.3
